genomes	arb_80_75.fna.gz.nucl	B422_80_75.fna.gz.nucl	Bdistachyon_314_v3.1.fna.gz.nucl	boi_80_75.fna.gz.nucl	Hvulgare_IBSC2016.HQ.cds.fna.nucl	hyb_80_75.fna.gz.nucl	mex_80_75.fna.gz.nucl	Osativa_323_v7.0.transcript.fa.gz.nucl	pho_80_75.fna.gz.nucl	pin_80_75.fna.gz.nucl	ret_80_75.fna.gz.nucl	rup_80_75.fna.gz.nucl	sta_80_75.fna.gz.nucl	syl_Cor_80_75.fna.gz.nucl	syl_Esp_80_75.fna.gz.nucl
arb_80_75.fna.gz.nucl	100	97.49	94.80	94.99	88.27	94.86	94.68	85.51	97.49	97.52	96.26	97.58	94.49	96.99	97.15
B422_80_75.fna.gz.nucl	97.49	100	94.84	94.92	88.32	94.84	94.70	85.65	98.42	97.69	96.48	98.08	94.46	97.08	97.20
Bdistachyon_314_v3.1.fna.gz.nucl	94.80	94.84	100	94.21	87.69	96.08	94.18	85.06	94.88	94.86	94.45	94.91	93.91	94.00	94.21
boi_80_75.fna.gz.nucl	94.99	94.92	94.21	100	88.59	94.59	95.18	85.86	94.97	95.05	95.87	94.98	94.56	94.45	94.66
Hvulgare_IBSC2016.HQ.cds.fna.nucl	88.27	88.32	87.69	88.59	100	88.33	88.55	85.14	88.31	88.30	88.34	88.36	88.25	87.90	88.07
hyb_80_75.fna.gz.nucl	94.86	94.84	96.08	94.59	88.33	100	94.48	85.82	94.93	94.92	94.54	94.88	96.83	94.41	94.53
mex_80_75.fna.gz.nucl	94.68	94.70	94.18	95.18	88.55	94.48	100	85.98	94.74	94.79	94.71	94.72	94.53	94.23	94.40
Osativa_323_v7.0.transcript.fa.gz.nucl	85.51	85.65	85.06	85.86	85.14	85.82	85.98	100	85.63	85.57	85.73	85.71	85.60	85.42	85.44
pho_80_75.fna.gz.nucl	97.49	98.42	94.88	94.97	88.31	94.93	94.74	85.63	100	97.76	96.55	98.07	94.56	97.10	97.23
pin_80_75.fna.gz.nucl	97.52	97.69	94.86	95.05	88.30	94.92	94.79	85.57	97.76	100	96.47	97.89	94.53	97.31	97.50
ret_80_75.fna.gz.nucl	96.26	96.48	94.45	95.87	88.34	94.54	94.71	85.73	96.55	96.47	100	96.56	94.38	95.89	96.11
rup_80_75.fna.gz.nucl	97.58	98.08	94.91	94.98	88.36	94.88	94.72	85.71	98.07	97.89	96.56	100	94.47	97.22	97.36
sta_80_75.fna.gz.nucl	94.49	94.46	93.91	94.56	88.25	96.83	94.53	85.60	94.56	94.53	94.38	94.47	100	94.02	94.18
syl_Cor_80_75.fna.gz.nucl	96.99	97.08	94.00	94.45	87.90	94.41	94.23	85.42	97.10	97.31	95.89	97.22	94.02	100	97.82
syl_Esp_80_75.fna.gz.nucl	97.15	97.20	94.21	94.66	88.07	94.53	94.40	85.44	97.23	97.50	96.11	97.36	94.18	97.82	100
